"BBL","Address","Initial Benefit Year","Exemption Years","Tax Year","Total # of MCIs","# of MCIs Granted in Full or Partial","# of MCIs Granted in Full","# of MCIs Denied"
1015520016,"323A E 89TH ST",1992,14,2000,1,1,1,0
1015520017,"325 E 89TH ST",1992,14,2000,1,1,1,0
1015530001,"301 E 90TH ST",1992,14,2000,1,1,1,0
1015540048,"304 E 92ND ST",1988,14,2000,1,1,1,0
1015560011,"317 E 93RD ST",1994,14,2000,1,1,1,0
1015560023,"345 E 93RD ST",1995,14,2000,5,3,1,2
1015590019,"435 E 79TH ST",1993,14,2000,5,4,1,0
1015600016,"437 E 80TH ST",1991,14,2000,1,1,0,0
1015610001,"401 E 81ST ST",1995,14,2000,3,3,0,0
1015610021,"444 E 82ND ST",1997,14,2000,3,2,0,1
